date_started,date_ended,declaration_type,disaster_type,disaster_title,days_lasted,county,county_fip,state,state_abbr,division_name,region_name
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Delaware County,OH-041,Ohio,OH,East North Central,Midwest
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Hancock County,OH-063,Ohio,OH,East North Central,Midwest
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Shelby County,OH-149,Ohio,OH,East North Central,Midwest
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Van Wert County,OH-161,Ohio,OH,East North Central,Midwest
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Harrison County,OH-067,Ohio,OH,East North Central,Midwest
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Highland County,OH-071,Ohio,OH,East North Central,Midwest
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Lucas County,OH-095,Ohio,OH,East North Central,Midwest
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Lorain County,OH-093,Ohio,OH,East North Central,Midwest
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Mercer County,OH-107,Ohio,OH,East North Central,Midwest
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Medina County,OH-103,Ohio,OH,East North Central,Midwest
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Cuyahoga County,OH-035,Ohio,OH,East North Central,Midwest
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Pickaway County,OH-129,Ohio,OH,East North Central,Midwest
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Allen County,OH-003,Ohio,OH,East North Central,Midwest
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Morrow County,OH-117,Ohio,OH,East North Central,Midwest
1965-04-21,1965-04-21,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,La Crosse County,WI-063,Wisconsin,WI,East North Central,Midwest
1965-04-21,1965-04-21,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Vernon County,WI-123,Wisconsin,WI,East North Central,Midwest
1965-04-21,1965-04-21,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Langlade County,WI-067,Wisconsin,WI,East North Central,Midwest
1965-04-21,1965-04-21,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Walworth County,WI-127,Wisconsin,WI,East North Central,Midwest
1965-04-21,1965-04-21,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Marathon County,WI-073,Wisconsin,WI,East North Central,Midwest
1965-04-21,1965-04-21,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Washburn County,WI-129,Wisconsin,WI,East North Central,Midwest
1965-04-21,1965-04-21,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Ashland County,WI-003,Wisconsin,WI,East North Central,Midwest
1965-04-21,1965-04-21,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Ozaukee County,WI-089,Wisconsin,WI,East North Central,Midwest
1965-04-21,1965-04-21,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Buffalo County,WI-011,Wisconsin,WI,East North Central,Midwest
1965-04-21,1965-04-21,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Pierce County,WI-093,Wisconsin,WI,East North Central,Midwest
1965-04-21,1965-04-21,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Barron County,WI-005,Wisconsin,WI,East North Central,Midwest
1965-04-21,1965-04-21,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Pepin County,WI-091,Wisconsin,WI,East North Central,Midwest
1965-04-21,1965-04-21,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Dunn County,WI-033,Wisconsin,WI,East North Central,Midwest
1965-04-21,1965-04-21,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Richland County,WI-103,Wisconsin,WI,East North Central,Midwest
1965-04-21,1965-04-21,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Crawford County,WI-023,Wisconsin,WI,East North Central,Midwest
1965-04-21,1965-04-21,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Polk County,WI-095,Wisconsin,WI,East North Central,Midwest
1965-04-21,1965-04-21,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Trempealeau County,WI-121,Wisconsin,WI,East North Central,Midwest
1965-04-21,1965-04-21,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Jefferson County,WI-055,Wisconsin,WI,East North Central,Midwest
1965-04-21,1965-04-21,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Grant County,WI-043,Wisconsin,WI,East North Central,Midwest
1965-04-21,1965-04-21,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,St. Croix County,WI-109,Wisconsin,WI,East North Central,Midwest
1965-04-25,1965-04-25,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Whiteside County,IL-195,Illinois,IL,East North Central,Midwest
1965-04-25,1965-04-25,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Adams County,IL-001,Illinois,IL,East North Central,Midwest
1965-04-25,1965-04-25,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Carroll County,IL-015,Illinois,IL,East North Central,Midwest
1965-04-25,1965-04-25,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Henderson County,IL-071,Illinois,IL,East North Central,Midwest
1965-04-25,1965-04-25,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Lake County,IL-097,Illinois,IL,East North Central,Midwest
1965-04-25,1965-04-25,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Jo Daviess County,IL-085,Illinois,IL,East North Central,Midwest
1965-04-25,1965-04-25,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Mercer County,IL-131,Illinois,IL,East North Central,Midwest
1965-04-25,1965-04-25,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,McHenry County,IL-111,Illinois,IL,East North Central,Midwest
1965-04-25,1965-04-25,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Rock Island County,IL-161,Illinois,IL,East North Central,Midwest
1965-04-25,1965-04-25,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Pike County,IL-149,Illinois,IL,East North Central,Midwest
1965-05-11,1965-05-11,Major Disaster Declaration,Earthquake,Earthquake,0.0,King County,WA-033,Washington,WA,Pacific,West
1965-05-11,1965-05-11,Major Disaster Declaration,Earthquake,Earthquake,0.0,Kitsap County,WA-035,Washington,WA,Pacific,West
1965-05-11,1965-05-11,Major Disaster Declaration,Earthquake,Earthquake,0.0,Mason County,WA-045,Washington,WA,Pacific,West
1965-05-11,1965-05-11,Major Disaster Declaration,Earthquake,Earthquake,0.0,Snohomish County,WA-061,Washington,WA,Pacific,West
1965-05-11,1965-05-11,Major Disaster Declaration,Earthquake,Earthquake,0.0,Pierce County,WA-053,Washington,WA,Pacific,West
1965-05-11,1965-05-11,Major Disaster Declaration,Earthquake,Earthquake,0.0,Thurston County,WA-067,Washington,WA,Pacific,West
1965-06-19,1965-06-19,Major Disaster Declaration,Tornado,Tornadoes & Flooding,0.0,Navarro County,TX-349,Texas,TX,West South Central,South
1965-06-19,1965-06-19,Major Disaster Declaration,Tornado,Tornadoes & Flooding,0.0,Rusk County,TX-401,Texas,TX,West South Central,South
1965-06-19,1965-06-19,Major Disaster Declaration,Tornado,Tornadoes & Flooding,0.0,Smith County,TX-423,Texas,TX,West South Central,South
1965-06-19,1965-06-19,Major Disaster Declaration,Tornado,Tornadoes & Flooding,0.0,Terrell County,TX-443,Texas,TX,West South Central,South
1965-06-19,1965-06-19,Major Disaster Declaration,Tornado,Tornadoes & Flooding,0.0,Freestone County,TX-161,Texas,TX,West South Central,South
1965-06-19,1965-06-19,Major Disaster Declaration,Tornado,Tornadoes & Flooding,0.0,Leon County,TX-289,Texas,TX,West South Central,South
1965-06-19,1965-06-19,Major Disaster Declaration,Tornado,Tornadoes & Flooding,0.0,Hale County,TX-189,Texas,TX,West South Central,South
1965-06-19,1965-06-19,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Logan County,CO-075,Colorado,CO,Mountain,West
1965-06-19,1965-06-19,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Denver County,CO-031,Colorado,CO,Mountain,West
1965-06-19,1965-06-19,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Yuma County,CO-125,Colorado,CO,Mountain,West
1965-06-19,1965-06-19,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Douglas County,CO-035,Colorado,CO,Mountain,West
1965-06-19,1965-06-19,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Morgan County,CO-087,Colorado,CO,Mountain,West
1965-06-19,1965-06-19,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Otero County,CO-089,Colorado,CO,Mountain,West
1965-06-19,1965-06-19,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,El Paso County,CO-041,Colorado,CO,Mountain,West
1965-06-19,1965-06-19,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Elbert County,CO-039,Colorado,CO,Mountain,West
1965-06-19,1965-06-19,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Phillips County,CO-095,Colorado,CO,Mountain,West
1965-06-19,1965-06-19,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Arapahoe County,CO-005,Colorado,CO,Mountain,West
1965-06-19,1965-06-19,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Kiowa County,CO-061,Colorado,CO,Mountain,West
1965-06-19,1965-06-19,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Pueblo County,CO-101,Colorado,CO,Mountain,West
1965-06-19,1965-06-19,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Adams County,CO-001,Colorado,CO,Mountain,West
1965-06-19,1965-06-19,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Fremont County,CO-043,Colorado,CO,Mountain,West
1965-06-19,1965-06-19,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Prowers County,CO-099,Colorado,CO,Mountain,West
1965-06-19,1965-06-19,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Larimer County,CO-069,Colorado,CO,Mountain,West
1965-06-19,1965-06-19,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Teller County,CO-119,Colorado,CO,Mountain,West
1965-06-19,1965-06-19,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Bent County,CO-011,Colorado,CO,Mountain,West
1965-06-19,1965-06-19,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Baca County,CO-009,Colorado,CO,Mountain,West
1965-06-19,1965-06-19,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Kit Carson County,CO-063,Colorado,CO,Mountain,West
1965-06-19,1965-06-19,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Sedgwick County,CO-115,Colorado,CO,Mountain,West
1965-06-19,1965-06-19,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Crowley County,CO-025,Colorado,CO,Mountain,West
1965-06-19,1965-06-19,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Weld County,CO-123,Colorado,CO,Mountain,West
1965-06-19,1965-06-19,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Lincoln County,CO-073,Colorado,CO,Mountain,West
1965-06-19,1965-06-19,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Cheyenne County,CO-017,Colorado,CO,Mountain,West
1965-06-19,1965-06-19,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Washington County,CO-121,Colorado,CO,Mountain,West
1965-06-19,1965-06-19,Major Disaster Declaration,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Las Animas County,CO-071,Colorado,CO,Mountain,West
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,Catahoula Parish,LA-025,Louisiana,LA,West South Central,South
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,Ouachita Parish,LA-073,Louisiana,LA,West South Central,South
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,St. Landry Parish,LA-097,Louisiana,LA,West South Central,South
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,East Baton Rouge Parish,LA-033,Louisiana,LA,West South Central,South
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,Plaquemines Parish,LA-075,Louisiana,LA,West South Central,South
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,St. Martin Parish,LA-099,Louisiana,LA,West South Central,South
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,Pointe Coupee Parish,LA-077,Louisiana,LA,West South Central,South
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,East Feliciana Parish,LA-037,Louisiana,LA,West South Central,South
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,St. Mary Parish,LA-101,Louisiana,LA,West South Central,South
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,Rapides Parish,LA-079,Louisiana,LA,West South Central,South
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,Franklin Parish,LA-041,Louisiana,LA,West South Central,South
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,St. Tammany Parish,LA-103,Louisiana,LA,West South Central,South
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,Acadia Parish,LA-001,Louisiana,LA,West South Central,South
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,Iberville Parish,LA-047,Louisiana,LA,West South Central,South
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,St. Bernard Parish,LA-087,Louisiana,LA,West South Central,South
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,Terrebonne Parish,LA-109,Louisiana,LA,West South Central,South
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,Iberia Parish,LA-045,Louisiana,LA,West South Central,South
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,Richland Parish,LA-083,Louisiana,LA,West South Central,South
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,Tangipahoa Parish,LA-105,Louisiana,LA,West South Central,South
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,Assumption Parish,LA-007,Louisiana,LA,West South Central,South
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,St. Helena Parish,LA-091,Louisiana,LA,West South Central,South
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,Lafayette Parish,LA-055,Louisiana,LA,West South Central,South
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,Washington Parish,LA-117,Louisiana,LA,West South Central,South
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,Ascension Parish,LA-005,Louisiana,LA,West South Central,South
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,Jefferson Parish,LA-051,Louisiana,LA,West South Central,South
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,St. Charles Parish,LA-089,Louisiana,LA,West South Central,South
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,Caldwell Parish,LA-021,Louisiana,LA,West South Central,South
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,Livingston Parish,LA-063,Louisiana,LA,West South Central,South
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,St. John the Baptist Parish,LA-095,Louisiana,LA,West South Central,South
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,West Feliciana Parish,LA-125,Louisiana,LA,West South Central,South
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,Avoyelles Parish,LA-009,Louisiana,LA,West South Central,South
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,Lafourche Parish,LA-057,Louisiana,LA,West South Central,South
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,St. James Parish,LA-093,Louisiana,LA,West South Central,South
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,West Baton Rouge Parish,LA-121,Louisiana,LA,West South Central,South
1965-09-10,1965-09-10,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,Ward 9 Police Jury Ward,,Louisiana,LA,West South Central,South
1965-09-14,1965-09-14,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,Broward County,FL-011,Florida,FL,South Atlantic,South
1965-09-14,1965-09-14,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,Collier County,FL-021,Florida,FL,South Atlantic,South
1965-09-14,1965-09-14,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,Glades County,FL-043,Florida,FL,South Atlantic,South
1965-09-14,1965-09-14,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,Lee County,FL-071,Florida,FL,South Atlantic,South
1965-09-14,1965-09-14,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,Hendry County,FL-051,Florida,FL,South Atlantic,South
1965-09-14,1965-09-14,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,Monroe County,FL-087,Florida,FL,South Atlantic,South
1965-09-14,1965-09-14,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,Martin County,FL-085,Florida,FL,South Atlantic,South
1965-09-14,1965-09-14,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,St. Lucie County,FL-111,Florida,FL,South Atlantic,South
1965-09-14,1965-09-14,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,Palm Beach County,FL-099,Florida,FL,South Atlantic,South
1965-09-14,1965-09-14,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,Miami-Dade County,FL-086,Florida,FL,South Atlantic,South
1965-09-25,1965-09-25,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,Wilkinson County,MS-157,Mississippi,MS,East South Central,South
1965-09-25,1965-09-25,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,Adams County,MS-001,Mississippi,MS,East South Central,South
1965-09-25,1965-09-25,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,Amite County,MS-005,Mississippi,MS,East South Central,South
1965-09-25,1965-09-25,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,Claiborne County,MS-021,Mississippi,MS,East South Central,South
1965-09-25,1965-09-25,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,Franklin County,MS-037,Mississippi,MS,East South Central,South
1965-09-25,1965-09-25,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,Jackson County,MS-059,Mississippi,MS,East South Central,South
1965-09-25,1965-09-25,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,Harrison County,MS-047,Mississippi,MS,East South Central,South
1965-09-25,1965-09-25,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,Lincoln County,MS-085,Mississippi,MS,East South Central,South
1965-09-25,1965-09-25,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,Jefferson County,MS-063,Mississippi,MS,East South Central,South
1965-09-25,1965-09-25,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,Pike County,MS-113,Mississippi,MS,East South Central,South
1965-09-25,1965-09-25,Major Disaster Declaration,Hurricane,Hurricane Betsy,0.0,Pearl River County,MS-109,Mississippi,MS,East South Central,South
1966-06-10,1966-06-10,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Riley County,KS-161,Kansas,KS,West North Central,Midwest
1966-06-10,1966-06-10,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Shawnee County,KS-177,Kansas,KS,West North Central,Midwest
1967-04-25,1967-04-25,Major Disaster Declaration,Tornado,Tornadoes,0.0,Kane County,IL-089,Illinois,IL,East North Central,Midwest
1967-04-25,1967-04-25,Major Disaster Declaration,Tornado,Tornadoes,0.0,Lake County,IL-097,Illinois,IL,East North Central,Midwest
1967-04-25,1967-04-25,Major Disaster Declaration,Tornado,Tornadoes,0.0,LaSalle County,IL-099,Illinois,IL,East North Central,Midwest
1967-04-25,1967-04-25,Major Disaster Declaration,Tornado,Tornadoes,0.0,Will County,IL-197,Illinois,IL,East North Central,Midwest
